1289,820
1297,812
1289,820
1281,828
1273,836
1265,828
1257,820
1249,812
1241,804
1233,796
1225,788
1217,780
1209,772
1201,764
1193,756
1185,748
1177,740
1169,732
1161,724
1153,716
1145,708
1137,700
1129,692
1121,684
1113,676
1105,684
1113,692
1121,700
1129,692
1137,684
1145,692
1153,700
1161,692
1169,700
1177,692
1185,700
1193,692
1201,700
1209,692
1217,684
1225,676
1233,668
1241,660
1249,668
1257,676
1265,684
1273,692
1281,684
1289,676
1297,684
1289,692
1281,684
1289,692
1281,684
1289,692
1281,684
1289,692
1281,684
1273,692
1265,700
1273,692
1265,700
1273,692
1265,700
1273,692
1265,700
1273,692
1265,684
1273,692
1265,700
1257,692
1265,684
1273,692
1265,700
1257,708
1265,700
1257,708
1265,700
1257,708
1265,700
1257,708
1249,700
1257,692
1265,700
1257,708
1249,700
1257,692
1249,700
1257,692
1265,700
1257,708
1249,716
1257,708
1249,716
1257,708
1249,716
1257,708
1249,716
1257,708
1249,716
1241,708
1249,700
1257,692
1265,700
1273,692
1265,700
1257,708
1249,716
1257,708
1249,716
1257,708
1249,716
1257,708
1249,716
1241,724
1249,716
1257,724
1265,716
1273,708
1281,700
1273,692
1265,700
1273,708
1265,700
1273,708
1265,700
1257,708
1265,700
1257,708
1265,716
1273,708
1265,700
1257,708
1265,716
1273,708
1265,716
1257,708
1265,716
1257,724
1265,716
1257,708
1249,716
1241,708
1249,700
1257,708
1249,716
1241,724
1233,716
1241,708
1249,700
1257,708
1249,716
1241,724
1233,716
1225,708
1217,700
1209,692
1201,684
1193,692
1185,700
1177,692
1185,700
1177,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,684
1193,692
1185,700
1193,708
1185,716
1177,708
1169,700
1177,692
1185,700
1177,692
1185,700
1177,692
1185,700
1177,708
1169,700
1177,692
1185,700
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,708
1185,716
1177,724
