x,y
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
1732,270
1740,262
